,BezirkID,0,1,2,3
0,Gesamt,1720737,2329680,3165960,1716287
1,101,2748,3809,5367,2971
2,102,351,413,720,516
3,103,7964,9394,16815,9688
4,104,4066,4900,10074,6730
5,105,2646,3422,6958,4083
6,106,7443,9151,15117,8605
7,107,11231,13038,23458,12670
8,108,6303,7487,14440,9223
9,109,9737,11481,20586,12405
10,201,17979,25992,36594,21200
11,202,11034,15635,23124,13443
12,203,3073,3728,6494,4757
13,204,11419,12529,22983,13572
14,205,9779,11963,19913,12225
15,206,13401,16572,27728,17927
16,207,11481,13798,24598,15043
17,208,7813,9248,15711,9062
18,209,9715,11660,19301,11812
19,210,5418,6671,11015,6679
20,301,4175,6328,8828,5506
21,302,10790,14394,19569,11125
22,303,2244,2647,3828,2415
23,304,9776,12847,15902,7931
24,305,24669,29200,41383,21340
25,306,28749,34009,55043,29312
26,307,21342,25670,38985,19510
27,308,21348,24780,39067,20629
28,309,6113,7693,13304,9165
29,310,9167,11241,19406,11518
30,311,5497,6693,11190,7458
31,312,17825,20378,35777,17797
32,313,10474,12439,21343,12303
33,314,4726,5603,9157,5988
34,315,15826,19094,28150,15211
35,316,13582,16929,28587,16557
36,317,22856,24756,45381,26247
37,318,16118,19692,31367,19146
38,319,26739,29742,49202,26381
39,320,8737,10283,14425,8122
40,321,20769,23881,39742,21370
41,322,4358,5575,9479,6119
42,323,15606,18331,28921,16175
43,325,7769,9444,15400,9214
44,401,37534,62964,66986,39053
45,402,6983,9856,12818,8295
46,403,12918,17185,21004,11547
47,404,21179,27504,38298,19511
48,405,6850,8130,12219,6169
49,406,14369,16166,24196,12191
50,407,19600,23943,36787,21772
51,408,13436,16208,23327,12166
52,409,11758,13838,20353,11214
53,410,31960,38410,54403,27618
54,411,14843,17410,24873,12115
55,412,12374,15872,22224,11380
56,413,11767,13753,20480,10623
57,414,11437,14177,20800,11024
58,415,12411,14155,22234,12136
59,416,17818,19754,32251,16412
60,417,28498,34650,48873,25972
61,418,16123,18360,26948,13143
62,501,27156,44468,51806,31986
63,502,12955,15406,21541,11090
64,503,32016,38667,55751,28190
65,504,16892,20541,28903,15056
66,505,3835,4728,7288,4267
67,506,17247,22206,31698,17017
68,601,51074,99514,91363,49183
69,603,10820,13284,23572,13195
70,606,31196,36487,59799,30371
71,610,15764,20207,32750,16573
72,611,9211,13714,21069,15157
73,612,14298,17700,28939,18655
74,614,4909,5886,10163,6491
75,616,8640,11028,19339,11940
76,617,17935,21834,33269,17878
77,620,12395,15647,26302,17012
78,621,16345,20970,35976,24763
79,622,16833,20750,34095,18941
80,623,15166,18271,32173,18231
81,701,20871,44967,40854,24367
82,702,12908,16017,22032,9965
83,703,37081,45718,65891,33008
84,704,11553,15380,23988,13755
85,705,22713,29318,39441,19608
86,706,9113,11544,15853,7836
87,707,9680,11262,17763,10109
88,708,6210,7975,12172,6697
89,709,17250,22053,30285,14868
90,801,13334,16060,23004,11970
91,802,28967,34214,47578,24551
92,803,19553,24432,30716,15801
93,804,23286,28412,38719,18640
94,901,2160,3989,5591,4127
95,902,19940,35723,33822,15752
96,903,15422,32132,30613,15081
97,904,5142,11229,10924,5780
98,905,8466,20355,17731,7821
99,906,4155,11900,10287,4994
100,907,4280,12169,10398,4836
101,908,3356,9102,7807,4100
102,909,6004,16740,12550,6518
103,910,44723,65398,68099,32353
104,911,23594,31164,35021,15243
105,912,18574,30876,32165,15383
106,913,9883,12900,18247,12873
107,914,17125,26054,32512,17675
108,915,12901,27802,24925,10509
109,916,18556,33188,34462,16274
110,917,10260,18313,18689,9226
111,918,9176,16380,16707,9064
112,919,13584,19827,24314,16136
113,920,16311,28020,27842,13091
114,921,37727,49020,58451,28718
115,922,43875,54818,69804,30309
116,923,23603,29046,37401,21762
